symbol,occurrences,distinct_components,host_present,components,files
replay.dry-run,2,1,no,11_AUDIT_INTEGRATIONS_AND_RECOVERY/TitanRewind-worksuite-upgrade-pass4,donor:11_AUDIT_INTEGRATIONS_AND_RECOVERY/Modules_for_Titan_BOS/TitanRewind-worksuite-upgrade-pass4/TitanRewind/Routes/api.php | donor:11_AUDIT_INTEGRATIONS_AND_RECOVERY/Modules_for_Titan_BOS/TitanRewind-worksuite-upgrade-pass4/TitanRewind/Routes/web.php
reports,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Routes/web.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/routes/web.php
reports.,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Routes/web.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/routes/web.php
rewriter,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/panel.php | host:routes/panel.php
rss.fetch,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/panel.php | host:routes/panel.php
run,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Wizards/routes/web.php | host:app/Domains/WorkCore/System/Modules/Wizards/routes/web.php
safety-incidents.status,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Compliance/routes/api.php | host:app/Domains/WorkCore/System/Modules/Compliance/routes/api.php
safety-incidents.store,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/app/Domains/WorkCore/System/Modules/Compliance/routes/api.php | host:app/Domains/WorkCore/System/Modules/Compliance/routes/api.php
save,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/routes/panel.php | host:routes/panel.php
save-instructions,2,2,no,04_AI_AUTHORING_STUDIO/ai-chat-pro-memory | Titan Zero Chatbot PWA,donor:04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-memory/System\AIChatProMemoryServiceProvider.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/memory/System/SystemAIChatMemoryServiceProvider.php
scan-github,2,2,no,04_AI_AUTHORING_STUDIO/ai-chat-pro-skills | Titan Zero Chatbot PWA,donor:04_AI_AUTHORING_STUDIO/AI_System_Extensions/ai-chat-pro-skills/System\AIChatProSkillsServiceProvider.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/System/TitanAI/skills/System/SystemAIChatSkillsServiceProvider.php
schedule-files.download,2,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Routes/web.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Routes/web.php
schedule-inspection.change-status,2,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Routes/web.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Routes/web.php
schedule-inspection.refresh_count,2,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Routes/web.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Routes/web.php
