symbol,occurrences,distinct_components,host_present,components,files
employee_onboarding_checklists,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2025_01_20_100000_create_employee_lifecycle_tables.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2025_01_20_100000_create_employee_lifecycle_tables.php
employee_probations,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2025_01_20_100000_create_employee_lifecycle_tables.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2025_01_20_100000_create_employee_lifecycle_tables.php
employee_promotions,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2025_01_20_100000_create_employee_lifecycle_tables.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2025_01_20_100000_create_employee_lifecycle_tables.php
employee_transfers,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2025_01_20_100000_create_employee_lifecycle_tables.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2025_01_20_100000_create_employee_lifecycle_tables.php
expense_requests,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2024_12_17_141415_create_expense_requests.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2024_12_17_141415_create_expense_requests.php
expense_types,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2024_09_28_082926_create_expense_types.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2024_09_28_082926_create_expense_types.php
ext_chatbot_team_conversation_participants,2,1,no,Titan Zero Chatbot PWA,donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/database/migrations/2026_07_27_210100_create_ext_chatbot_team_participants.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/database/migrations/2026_07_29_000100_create_chatbot_team_chat_tables.php
ext_chatbot_team_conversations,2,1,no,Titan Zero Chatbot PWA,donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/database/migrations/2026_07_27_210000_create_ext_chatbot_team_conversations.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/database/migrations/2026_07_29_000100_create_chatbot_team_chat_tables.php
ext_chatbot_team_message_reads,2,1,no,Titan Zero Chatbot PWA,donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/database/migrations/2026_07_27_210200_create_ext_chatbot_team_messages.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/database/migrations/2026_07_29_000100_create_chatbot_team_chat_tables.php
ext_chatbot_team_messages,2,1,no,Titan Zero Chatbot PWA,donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/database/migrations/2026_07_27_210200_create_ext_chatbot_team_messages.php | donor:03_LEARNER_PWA_AND_CHANNELS/Titan_Zero_Chatbot_PWA/database/migrations/2026_07_29_000100_create_chatbot_team_chat_tables.php
extensions,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/database/migrations/2024_01_17_072456_create_extensions_table.php | host:database/migrations/2024_01_17_072456_create_extensions_table.php
failed_jobs,2,2,yes,MagicAI + WorkCore host | Titan Train v0.7.0,donor:01_TITAN_TRAIN_CANONICAL_CORE/Titan_Train_v0.7.0/database/migrations/0001_01_01_000002_create_jobs_table.php | host:database/migrations/2019_08_19_000000_create_failed_jobs_table.php
frontend_channel_settings,2,2,yes,13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected | MagicAI + WorkCore host,donor:13_HOST_INTEGRATION_REFERENCES/MagicAI_WorkCore_Selected/database/migrations/2025_03_18_050755_create_channel_settings_table.php | host:database/migrations/2025_03_18_050755_create_channel_settings_table.php
holidays,2,1,no,06_WORKFORCE_AND_ONBOARDING/HRCore,donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/Database/Migrations/2024_10_23_112732_create_holidays.php | donor:06_WORKFORCE_AND_ONBOARDING/Modules_for_Titan_BOS/HRCore/HRCore/database/migrations/2024_10_23_112732_create_holidays.php
inspection_schedule_files,3,2,no,07_COMPLIANCE_ASSESSMENT_AND_QUALITY/CleanQuality | 07_COMPLIANCE_ASSESSMENT_AND_QUALITY/QualityControl,donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/CleanQuality/CleanQuality/Database/Migrations/2023_02_25_034720_create_schedule_files_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2023_02_25_034720_create_schedule_files_table.php | donor:07_COMPLIANCE_ASSESSMENT_AND_QUALITY/Modules_for_Titan_BOS/QualityControl/QualityControl/Database/Migrations/2023_02_25_034720_qc_create_schedule_files_table.php
